dpd_5_cnt,dpd_15_cnt,dpd_30_cnt,close_loans_cnt,payment_type_1,payment_type_2,payment_type_3,past_billings_cnt,age,gender,bad_flag,score_combined,has_overdue_info
1.0,0.0,0.0,0.0,0,6,0,5.0,20,0,0,,1
,,,2.0,0,0,5,5.0,19,0,0,,0
,,,1.0,0,4,0,6.0,21,0,0,,0
,,,0.0,3,0,0,3.0,33,0,0,,0
,,,2.0,0,6,0,5.0,34,0,0,,0
1.0,0.0,0.0,2.0,0,9,0,8.0,32,0,0,,1
1.0,1.0,0.0,0.0,0,5,0,5.0,23,0,1,,1
3.0,1.0,0.0,1.0,0,4,0,6.0,33,0,0,,1
1.0,1.0,0.0,0.0,0,5,0,5.0,23,0,1,,1
,,,1.0,0,3,0,3.0,38,0,0,,0
1.0,1.0,1.0,0.0,0,5,0,5.0,29,0,0,,1
,,,0.0,0,0,3,2.0,23,0,0,,0
1.0,0.0,0.0,0.0,5,0,0,4.0,22,0,0,,1
,,,1.0,0,3,0,3.0,21,0,0,,0
,,,2.0,0,6,1,7.0,22,0,0,,0
,,,0.0,2,0,0,2.0,31,1,0,,0
1.0,1.0,1.0,2.0,1,9,0,8.0,22,0,0,,1
,,,0.0,4,0,0,4.0,20,0,1,,0
,,,0.0,2,0,0,1.0,21,0,0,,0
,,,1.0,0,0,8,7.0,24,0,0,,0
,,,0.0,1,0,1,2.0,49,0,0,,0
,,,1.0,0,3,0,3.0,31,0,0,,0
,,,1.0,1,4,1,6.0,23,0,0,,0
,,,1.0,0,7,0,7.0,21,0,0,,0
,,,3.0,0,13,0,12.0,36,0,0,,0
,,,3.0,8,3,1,9.0,22,0,0,,0
,,,0.0,0,5,0,5.0,18,0,1,,0
1.0,0.0,0.0,2.0,0,9,0,7.0,29,0,1,,1
,,,3.0,0,16,0,16.0,18,0,0,,0
,,,2.0,6,0,3,7.0,33,0,0,,0
1.0,0.0,0.0,1.0,0,0,3,3.0,23,0,0,564.0841414468713,1
1.0,0.0,0.0,3.0,3,9,0,7.0,23,0,1,,1
2.0,1.0,1.0,1.0,0,5,0,5.0,18,1,1,,1
,,,1.0,0,3,0,3.0,59,0,0,583.1943198259886,0
,,,2.0,0,12,0,12.0,22,0,0,,0
,,,2.0,0,6,0,6.0,29,0,0,,0
,,,0.0,0,1,0,1.0,19,0,0,,0
1.0,1.0,1.0,0.0,0,3,0,3.0,19,0,1,,1
,,,1.0,0,3,0,3.0,19,0,0,,0
,,,1.0,0,10,0,6.0,25,0,0,,0
2.0,1.0,0.0,1.0,0,6,0,6.0,54,0,0,583.1943198259886,1
,,,1.0,2,0,1,3.0,39,0,0,,0
,,,0.0,1,0,0,,38,0,0,,0
,,,2.0,0,6,0,6.0,44,0,0,,0
,,,1.0,0,0,3,3.0,25,0,0,563.0897799717172,0
2.0,1.0,1.0,2.0,6,3,0,7.0,24,0,1,,1
,,,3.0,0,6,0,13.0,30,0,0,,0
,,,1.0,0,0,3,3.0,32,0,0,556.7579444322735,0
,,,2.0,7,0,0,5.0,41,0,0,,0
,,,2.0,0,6,0,6.0,28,0,0,563.0897799717172,0
,,,0.0,0,1,0,1.0,45,0,0,,0
,,,1.0,0,6,0,6.0,36,0,0,572.3569999753098,0
,,,2.0,0,4,2,6.0,25,0,0,572.3569999753098,0
1.0,1.0,1.0,0.0,0,0,1,3.0,18,0,1,,1
,,,,0,0,0,,28,0,0,,0
,,,1.0,0,1,4,4.0,26,0,0,,0
,,,0.0,0,0,0,,18,0,1,,0
,,,1.0,0,4,0,3.0,23,0,0,554.816921443279,0
1.0,0.0,0.0,1.0,0,4,0,4.0,18,0,0,,1
,,,2.0,0,0,4,4.0,30,0,0,550.9577151066885,0
,,,0.0,0,4,0,1.0,22,0,0,505.1454637059669,0
1.0,0.0,0.0,0.0,0,2,0,2.0,41,0,1,546.4394377049397,1
3.0,1.0,0.0,1.0,0,7,0,8.0,18,0,1,,1
,,,1.0,0,2,0,3.0,19,0,1,,0
,,,4.0,28,0,0,13.0,20,0,0,,0
1.0,0.0,0.0,2.0,10,0,3,10.0,29,0,0,,1
,,,0.0,0,0,0,1.0,23,1,0,513.5134561907098,0
1.0,1.0,0.0,1.0,4,0,0,3.0,20,0,1,,1
,,,0.0,0,1,0,1.0,29,1,1,527.5865440447329,0
,,,0.0,0,1,1,2.0,21,0,0,538.1665791765013,0
,,,2.0,0,9,0,7.0,18,0,0,,0
,,,0.0,0,3,0,2.0,56,0,0,572.8758130986548,0
,,,0.0,0,2,0,2.0,28,0,0,,0
,,,3.0,3,2,6,4.0,24,0,0,572.3569999753098,0
,,,0.0,0,0,0,,24,0,0,572.3569999753098,0
1.0,1.0,0.0,0.0,0,2,0,2.0,19,0,0,529.213888912536,1
,,,0.0,0,0,3,3.0,27,0,0,,0
,,,10.0,0,29,0,18.0,38,0,0,,0
,,,0.0,0,4,0,4.0,23,0,0,564.0841414468713,0
2.0,2.0,0.0,2.0,0,12,0,11.0,21,0,1,,1
,,,0.0,0,0,4,4.0,25,1,0,532.1048214464819,0
1.0,0.0,0.0,0.0,0,0,4,4.0,18,0,0,,1
,,,1.0,0,6,0,5.0,21,0,1,,0
,,,0.0,0,0,1,1.0,22,0,0,564.0841414468713,0
,,,0.0,0,1,0,,30,0,0,627.0548438959104,0
,,,0.0,0,1,0,,25,1,0,556.6914125125181,0
,,,0.0,0,1,0,,40,1,0,546.7521583238022,0
,,,1.0,0,6,0,6.0,43,0,0,544.1793513696593,0
1.0,1.0,1.0,3.0,0,8,3,9.0,34,0,0,509.9070601942066,1
,,,3.0,0,13,0,13.0,63,0,0,635.3341555217064,0
,,,5.0,0,24,0,16.0,51,0,0,596.9139787876043,0
,,,3.0,0,9,0,9.0,18,0,0,529.213888912536,0
1.0,0.0,0.0,0.0,0,3,0,2.0,24,1,0,610.3941087217587,1
,,,0.0,0,3,0,5.0,42,0,0,610.8876598963683,0
,,,0.0,0,1,0,1.0,27,1,0,433.2103695404403,0
,,,0.0,0,0,0,1.0,27,0,1,601.9791121973982,0
,,,2.0,0,3,3,5.0,34,1,0,508.0609190528736,0
,,,1.0,0,1,0,1.0,20,0,0,527.8627811970698,0
1.0,1.0,0.0,0.0,0,3,0,4.0,25,0,1,573.6829236435293,1
,,,4.0,5,0,0,6.0,27,0,0,576.8752773770586,0
,,,3.0,0,9,0,10.0,31,0,0,582.8195181211313,0
,,,1.0,0,3,0,3.0,20,0,1,,0
,,,2.0,0,11,0,8.0,26,0,0,618.2204240524505,0
2.0,0.0,0.0,2.0,1,7,0,7.0,42,0,0,,1
,,,,0,0,0,,59,0,0,596.692871859364,0
1.0,1.0,0.0,0.0,0,1,0,1.0,31,0,1,601.9791121973982,1
1.0,0.0,0.0,1.0,0,2,1,4.0,18,0,0,,1
,,,0.0,0,3,0,2.0,32,0,0,572.6966468517686,0
,,,1.0,3,0,0,3.0,49,0,0,643.8731864869187,0
,,,0.0,0,1,0,,45,0,0,615.275435199675,0
,,,0.0,0,0,1,,31,1,0,553.5498143252104,0
,,,1.0,0,3,0,3.0,31,1,0,524.7821949753684,0
1.0,1.0,1.0,1.0,0,3,0,3.0,36,0,0,612.3230903950008,1
,,,0.0,2,0,0,2.0,22,0,0,462.9368200989045,0
,,,1.0,3,0,0,3.0,56,1,0,625.8432460028794,0
,,,0.0,0,0,2,2.0,27,0,0,591.3596659972143,0
,,,1.0,0,4,0,5.0,28,0,0,597.3232248434088,0
,,,2.0,0,8,0,7.0,29,0,0,572.6966468517686,0
1.0,0.0,0.0,1.0,5,0,0,3.0,54,0,0,497.6625126615624,1
,,,2.0,0,7,0,6.0,23,0,0,530.9303819582392,0
,,,0.0,0,3,0,3.0,46,0,0,532.0544183831076,0
,,,2.0,0,0,5,5.0,27,0,0,615.275435199675,0
,,,0.0,0,6,0,5.0,37,0,0,563.0897799717172,0
,,,2.0,0,3,0,5.0,40,0,0,616.7108656983075,0
,,,1.0,0,2,0,2.0,49,0,0,657.1695094891958,0
,,,1.0,0,4,0,3.0,22,0,1,615.0305284597732,0
,,,3.0,0,2,6,8.0,30,1,0,493.3291655519642,0
,,,1.0,0,3,0,3.0,44,1,0,601.6259140670437,0
3.0,2.0,0.0,4.0,0,10,0,7.0,42,0,0,571.8952956889558,1
,,,0.0,0,1,0,,28,0,0,523.7368289617391,0
2.0,0.0,0.0,1.0,0,5,0,5.0,32,0,0,527.9105551027607,1
,,,0.0,0,0,0,,24,0,0,611.1168235858707,0
,,,0.0,0,3,0,3.0,28,0,0,576.8752773770586,0
,,,4.0,0,14,0,13.0,27,1,0,519.8336545834845,0
,,,0.0,0,3,0,3.0,26,1,0,552.8617591353388,0
,,,0.0,2,0,0,3.0,38,0,0,612.2197381784796,0
,,,1.0,1,5,0,5.0,38,0,0,590.1522822772133,0
1.0,0.0,0.0,0.0,0,3,0,3.0,35,0,0,619.6558545510832,1
,,,1.0,0,6,0,6.0,37,0,0,612.2197381784796,0
2.0,1.0,0.0,1.0,0,5,0,4.0,20,1,0,495.3246363509498,1
,,,2.0,0,0,5,6.0,47,0,0,570.7456576540362,0
,,,0.0,0,1,0,1.0,27,0,0,601.9791121973982,0
,,,2.0,0,6,0,6.0,57,0,0,626.1964441332337,0
,,,2.0,0,0,7,6.0,52,0,0,677.4978576974895,0
,,,2.0,0,6,0,7.0,27,0,0,575.082029956162,0
,,,0.0,2,0,0,2.0,52,0,0,615.5769979330498,0
,,,2.0,0,5,0,5.0,21,0,0,588.7386214052847,0
,,,2.0,0,10,0,9.0,27,0,0,576.7774310886117,0
,,,3.0,0,6,0,5.0,33,0,1,527.6666430798009,0
,,,0.0,0,5,0,5.0,57,0,0,620.602402020797,0
,,,6.0,0,0,12,9.0,36,0,0,587.4284003526782,0
,,,0.0,0,2,0,2.0,46,0,0,601.9791121973982,0
,,,1.0,0,3,0,3.0,27,0,0,553.3916599830255,0
,,,0.0,0,1,0,1.0,39,0,0,634.1683529093362,0
2.0,1.0,1.0,0.0,0,1,3,4.0,35,0,0,572.6966468517686,1
,,,1.0,0,5,0,6.0,37,0,0,440.0812184399418,0
,,,0.0,0,4,0,4.0,63,0,0,649.8367453331134,0
,,,2.0,0,9,0,12.0,26,0,0,587.4284003526782,0
,,,2.0,0,5,0,5.0,28,0,0,625.6194133972778,0
,,,2.0,0,5,0,5.0,50,0,0,555.3162838877529,0
,,,0.0,0,2,0,1.0,47,0,0,524.6290969231775,0
,,,1.0,7,0,2,6.0,21,0,0,,0
,,,0.0,0,2,0,2.0,64,0,0,577.3940905004038,0
,,,1.0,1,5,0,6.0,40,1,0,542.1798898067877,0
,,,0.0,0,4,0,4.0,37,0,0,561.2762218340224,0
,,,1.0,0,3,0,3.0,27,0,1,523.7368289617391,0
,,,0.0,0,0,0,,39,0,0,558.5717290526418,0
,,,4.0,0,11,0,6.0,54,0,0,540.5845303868433,0
,,,1.0,0,6,0,6.0,22,0,0,,0
,,,0.0,0,2,0,1.0,57,0,0,571.5690181275388,0
,,,1.0,0,5,0,5.0,25,0,0,,0
1.0,0.0,0.0,1.0,0,5,0,5.0,19,0,0,,1
,,,0.0,0,0,4,4.0,43,0,0,607.3192995812433,0
,,,3.0,0,8,0,8.0,24,0,0,601.9791121973982,0
1.0,0.0,0.0,4.0,0,18,0,16.0,22,0,1,580.1995904400724,1
,,,1.0,0,5,0,5.0,23,0,0,,0
,,,1.0,0,3,0,3.0,42,0,0,611.1168235858707,0
,,,2.0,0,6,0,6.0,26,0,0,636.1174903214848,0
,,,2.0,0,11,0,11.0,52,0,0,547.2719431186141,0
,,,1.0,0,5,0,5.0,40,0,0,612.3230903950008,0
,,,0.0,0,0,1,2.0,39,0,0,591.5826730276252,0
,,,0.0,0,4,0,4.0,56,0,0,609.6947430907812,0
1.0,1.0,0.0,1.0,0,6,0,6.0,34,1,1,411.3031834386063,1
,,,0.0,0,3,0,2.0,47,0,1,532.9777743091015,0
,,,0.0,0,1,0,1.0,26,1,0,550.8676342771994,0
,,,0.0,0,1,0,,26,0,0,563.0897799717172,0
3.0,1.0,1.0,1.0,0,5,0,5.0,37,0,0,472.4897142945365,1
,,,0.0,0,1,0,1.0,56,1,0,544.5927678396189,0
,,,3.0,0,10,0,6.0,25,1,0,564.6411678315742,0
,,,0.0,0,3,0,3.0,40,1,0,517.4617293370809,0
1.0,0.0,0.0,0.0,0,1,1,2.0,20,0,0,553.0408484316549,1
,,,0.0,0,3,0,3.0,22,0,0,559.335198845028,0
,,,3.0,0,14,0,13.0,23,0,0,560.5783821737658,0
,,,0.0,0,1,0,,31,0,0,614.7063434211178,0
,,,6.0,0,12,0,12.0,49,0,0,596.9139787876043,0
,,,1.0,0,3,0,3.0,52,1,0,488.8981114779898,0
,,,0.0,0,1,0,,38,0,0,467.6484313462344,0
,,,0.0,0,0,0,,36,0,0,625.6194133972778,0
,,,0.0,0,0,0,,24,1,0,601.6259140670437,0
,,,0.0,0,1,0,1.0,19,0,0,,0
,,,0.0,3,0,0,2.0,28,0,0,496.85652382967066,0
,,,6.0,0,12,0,12.0,41,0,0,,0
,,,1.0,7,0,0,6.0,26,0,0,634.3876080519926,0
,,,0.0,0,5,0,5.0,32,0,0,591.8118367171278,0
,,,0.0,0,3,0,3.0,21,0,0,542.7656904977308,0
,,,1.0,0,8,0,7.0,43,0,0,,0
,,,0.0,0,0,2,2.0,30,0,0,577.6123026622639,0
1.0,1.0,0.0,2.0,0,9,0,9.0,36,0,0,619.6558545510832,1
1.0,0.0,0.0,2.0,0,10,0,10.0,22,0,0,557.6140817994885,1
,,,2.0,0,4,0,6.0,24,0,0,649.6343460109832,0
,,,0.0,0,2,0,2.0,51,0,0,,0
,,,3.0,0,6,3,9.0,29,0,0,611.1168235858707,0
,,,1.0,0,3,0,5.0,24,0,0,498.2919543283032,0
,,,1.0,0,2,1,3.0,21,0,0,540.3439832073377,0
,,,1.0,0,4,0,4.0,30,0,0,612.789217945056,0
,,,2.0,0,5,1,7.0,35,0,0,579.4697121392986,0
,,,0.0,0,0,2,2.0,34,0,0,597.4058788295646,0
,,,1.0,0,6,0,6.0,34,0,0,634.1683529093362,0
,,,1.0,0,3,0,3.0,43,0,0,612.2197381784796,0
1.0,0.0,0.0,0.0,0,1,0,1.0,32,0,0,572.6966468517686,1
,,,0.0,0,0,4,4.0,34,0,0,580.6789551452705,0
,,,2.0,0,5,0,5.0,29,0,0,632.9521775533601,0
1.0,1.0,0.0,1.0,5,1,0,6.0,25,1,0,521.786314719148,1
,,,1.0,6,0,0,6.0,22,0,0,541.7794137059703,0
,,,2.0,0,4,0,5.0,37,0,0,576.8552584655729,0
,,,1.0,0,0,2,4.0,34,0,0,572.3569999753098,0
,,,1.0,0,6,0,6.0,27,0,0,596.3850700849613,0
1.0,1.0,0.0,0.0,0,4,0,3.0,24,1,0,576.5501823685315,1
,,,1.0,0,3,0,3.0,31,0,0,611.1168235858707,0
,,,0.0,0,1,0,1.0,54,0,0,658.6049399878282,0
,,,2.0,0,12,0,8.0,60,0,0,612.8519990976439,0
,,,0.0,0,3,0,1.0,37,0,0,576.8752773770586,0
,,,1.0,0,6,0,6.0,39,0,0,572.3569999753098,0
,,,1.0,3,0,0,3.0,45,0,0,618.2204240524505,0
,,,1.0,0,5,1,6.0,54,0,0,530.2827014292254,0
,,,0.0,0,0,2,2.0,32,0,0,585.9929698540457,0
,,,3.0,0,5,3,7.0,38,0,0,632.9521775533601,0
,,,1.0,0,14,0,8.0,41,0,0,616.0874942359577,0
,,,2.0,0,7,0,7.0,26,0,0,632.9521775533601,0
,,,4.0,0,14,0,14.0,42,0,0,612.3230903950008,0
,,,1.0,2,1,0,3.0,37,1,0,,0
,,,4.0,0,18,0,16.0,24,0,0,588.5313149452869,0
2.0,2.0,0.0,1.0,0,7,2,6.0,39,0,0,531.0989519519172,1
1.0,1.0,1.0,0.0,0,3,0,3.0,31,0,1,550.9577151066885,1
,,,0.0,0,1,0,1.0,33,0,0,609.6813930872381,0
,,,0.0,0,2,0,2.0,24,0,0,,0
1.0,0.0,0.0,1.0,0,4,0,3.0,37,0,0,590.3991546846121,1
1.0,1.0,0.0,1.0,0,3,1,3.0,27,0,0,,1
,,,1.0,0,3,0,3.0,26,0,0,576.8752773770586,0
,,,2.0,0,4,0,5.0,23,0,0,,0
1.0,0.0,0.0,3.0,0,17,0,12.0,35,0,0,,1
,,,0.0,2,0,0,1.0,39,0,0,,0
,,,2.0,0,11,0,9.0,24,0,0,604.5935658711237,0
,,,0.0,1,2,0,5.0,30,0,0,526.3144162808159,0
,,,0.0,0,3,0,2.0,57,1,0,600.7675143043672,0
,,,0.0,0,5,0,4.0,32,0,0,595.7591460276641,0
,,,0.0,0,5,0,5.0,29,0,0,592.8167097698359,0
2.0,2.0,0.0,1.0,0,5,0,5.0,42,0,1,487.8417773020695,1
,,,2.0,4,1,2,8.0,23,0,0,,0
1.0,1.0,0.0,3.0,0,13,0,12.0,25,0,0,619.6558545510832,1
1.0,0.0,0.0,1.0,0,10,3,10.0,21,0,0,,1
,,,0.0,2,0,0,2.0,25,0,0,600.5436816987657,0
,,,1.0,7,0,0,4.0,31,0,0,,0
,,,2.0,0,9,4,13.0,20,0,0,537.2061803381366,0
,,,1.0,0,3,0,3.0,29,1,0,595.6623552208491,0
,,,0.0,0,3,0,3.0,54,0,0,546.5162820187948,0
,,,1.0,0,3,0,3.0,35,1,0,547.267717022902,0
2.0,1.0,1.0,2.0,0,9,0,8.0,29,0,0,595.8134257114565,1
,,,0.0,0,2,0,1.0,29,0,0,612.3230903950008,0
,,,0.0,0,3,0,2.0,18,0,1,,0
,,,4.0,0,9,0,8.0,47,0,0,597.1945765262967,0
,,,1.0,0,5,0,5.0,32,0,0,590.3764062184953,0
,,,0.0,0,4,0,2.0,25,0,1,452.3626732841494,0
,,,3.0,0,6,0,6.0,54,1,0,560.5744395425781,0
,,,0.0,0,0,0,,29,0,0,625.6194133972778,0
,,,1.0,0,5,0,3.0,27,1,0,544.7816196704954,0
1.0,0.0,0.0,2.0,0,18,0,17.0,55,0,0,691.5284203005043,1
,,,2.0,0,6,0,6.0,39,0,0,594.2495876735211,0
,,,0.0,0,0,2,1.0,30,0,0,618.3929278265298,0
,,,0.0,0,0,2,2.0,27,0,0,543.833827079343,0
,,,0.0,0,0,1,1.0,32,0,0,655.010408031146,0
3.0,3.0,1.0,1.0,8,0,0,6.0,32,0,0,572.4675762824362,1
,,,1.0,0,2,0,1.0,25,0,0,,0
,,,1.0,0,0,4,6.0,18,0,0,484.80331607840895,0
2.0,2.0,0.0,4.0,4,9,1,11.0,41,0,0,531.7098540865346,1
,,,1.0,0,0,3,3.0,24,0,0,645.9477616055716,0
,,,1.0,0,0,7,7.0,43,0,0,572.6966468517686,0
,,,0.0,0,4,0,4.0,21,0,0,553.0033633055842,0
,,,1.0,0,3,0,3.0,24,1,1,610.3941087217587,0
,,,0.0,0,5,0,5.0,24,0,0,609.6813930872381,0
,,,1.0,0,4,0,4.0,25,1,1,572.3915707547272,0
,,,0.0,0,3,0,3.0,30,0,0,617.1767524705533,0
,,,0.0,0,0,1,1.0,34,0,0,632.9521775533601,0
,,,0.0,0,2,0,2.0,24,0,0,572.2474931448966,0
,,,0.0,0,2,0,2.0,27,0,0,610.6991848188003,0
,,,0.0,0,1,0,,41,0,0,632.9521775533601,0
,,,2.0,0,6,0,7.0,25,0,0,612.2197381784796,0
,,,3.0,0,9,0,9.0,30,0,0,491.288732546114,0
,,,1.0,0,3,0,3.0,30,0,0,576.8552584655729,0
,,,0.0,0,2,0,2.0,51,0,0,,0
1.0,1.0,0.0,0.0,0,1,0,1.0,49,0,0,506.3421022645968,1
,,,1.0,0,7,0,7.0,25,0,0,612.2197381784796,0
,,,0.0,5,0,0,5.0,20,0,0,541.7794137059703,0
,,,2.0,0,5,0,6.0,39,1,0,492.3736991207738,0
,,,0.0,0,0,3,3.0,36,0,0,616.7108656983075,0
,,,2.0,0,6,0,6.0,38,0,0,553.317062758132,0
,,,1.0,0,3,3,6.0,36,0,0,635.6037834079689,0
,,,1.0,4,0,2,6.0,26,0,0,576.8752773770586,0
,,,0.0,0,1,0,1.0,39,0,0,579.8754054014169,0
,,,0.0,0,2,0,2.0,35,1,1,492.3736991207738,0
,,,4.0,0,12,0,10.0,33,0,1,536.3295126859737,0
,,,0.0,0,0,0,,22,0,1,488.0767174967299,0
,,,0.0,0,2,0,,22,0,1,488.0767174967299,0
,,,0.0,0,1,0,,35,0,1,,0
,,,0.0,0,0,0,,53,0,0,,0
,,,0.0,0,2,0,,39,0,1,,0
,,,0.0,0,1,0,,38,0,0,605.7392220421829,0
,,,0.0,0,0,0,,35,0,0,609.6813930872381,0
,,,0.0,0,1,0,,28,1,0,515.9396316873336,0
,,,7.0,0,18,0,18.0,34,0,1,634.3876080519926,0
4.0,1.0,0.0,3.0,0,9,1,11.0,20,0,0,,1
,,,1.0,0,4,0,3.0,53,0,0,614.3618913497664,0
,,,1.0,0,3,0,3.0,24,0,0,612.2197381784796,0
,,,0.0,0,0,4,4.0,31,0,0,435.00223099798086,0
