iter	PRAUC	Logloss
0	0.7565581089	0.6730698169
1	0.7703983789	0.6562722119
2	0.7742677664	0.641806841
3	0.7780043885	0.6325253511
4	0.7759889872	0.6255219868
5	0.768111863	0.6200075851
6	0.7663214013	0.6130292568
7	0.7694579216	0.6051054747
8	0.769503087	0.5986765729
9	0.7762715307	0.5914735761
10	0.7771279472	0.5874990149
11	0.7777282013	0.5832124665
12	0.7804626571	0.5789110594
13	0.7808015922	0.5760430781
14	0.7820085444	0.5725108248
15	0.7815284095	0.5692217696
16	0.7833434159	0.5670971011
17	0.7844187391	0.5644253088
18	0.7840272045	0.5617276074
19	0.7848198763	0.5592088456
20	0.7869335918	0.5578034041
21	0.7884989575	0.5553468805
22	0.7892188215	0.5536450226
23	0.7904102393	0.5511974094
24	0.7919472795	0.5492451111
25	0.7932918156	0.5472815641
26	0.7939249024	0.5469165877
27	0.7938312448	0.5457867107
28	0.7943299242	0.5447270731
29	0.7947798124	0.5432192442
30	0.7949508671	0.5424444705
31	0.795098215	0.5419246682
32	0.7955757683	0.5409488316
33	0.797501161	0.5390038401
34	0.7972572458	0.5385129996
35	0.7972634512	0.5377801074
36	0.7972599406	0.5373384856
37	0.7978964717	0.5361362837
38	0.7976549565	0.5351597205
39	0.7984576885	0.5344049525
40	0.7991162569	0.533719259
41	0.7990943085	0.5327113557
42	0.7992163338	0.5320713823
43	0.8016394659	0.5300086962
44	0.8023231115	0.5292222121
45	0.8025728326	0.5287547868
46	0.8045654406	0.5275881872
47	0.8049861748	0.5264379607
48	0.8050354038	0.525776818
49	0.8052670914	0.5255754317
50	0.8059343511	0.5247217241
51	0.8061307278	0.5239536926
52	0.8065907621	0.5232604454
53	0.8074489912	0.5227223167
54	0.807798036	0.5222019856
55	0.8084162064	0.5213307516
56	0.8084490009	0.5211323915
57	0.808704509	0.5208549639
58	0.8090090954	0.5200804299
59	0.8095952374	0.5192306586
60	0.8100167859	0.5188298888
61	0.810244711	0.51828118
62	0.8106109564	0.5174639613
63	0.8107193565	0.5171378921
64	0.8109896951	0.5168509297
65	0.8111925417	0.5163172528
66	0.8115988113	0.5158255485
67	0.8116285404	0.5150666325
68	0.8118521558	0.5147527395
69	0.811916252	0.5144728152
70	0.8122115397	0.5137022493
71	0.8121748606	0.5134920263
72	0.8124099956	0.5131569122
73	0.8125400847	0.5127079814
74	0.8129770879	0.5120225299
75	0.8135802711	0.5110758607
76	0.8137735276	0.5108792355
77	0.813812191	0.5102550971
78	0.8141726913	0.5095935579
79	0.8150154328	0.508905698
80	0.8154470316	0.5081441666
81	0.8153735306	0.5079764753
82	0.8154583609	0.5075898524
83	0.8156312822	0.5072636385
84	0.8174456786	0.5059208788
85	0.8176475276	0.5054620626
86	0.8182130114	0.5051971877
87	0.8185867551	0.5045649383
88	0.8187847193	0.504102745
89	0.8192982452	0.5027096052
90	0.8204660423	0.501802644
91	0.8214565944	0.501096094
92	0.821560145	0.5008313276
93	0.8222839335	0.5001688267
94	0.8224103862	0.4999981571
95	0.8229738142	0.4993135073
96	0.8236253651	0.4984794465
97	0.8243032011	0.4969181027
98	0.8246175967	0.4961746384
99	0.824926103	0.4958167047
