iter	Passed	Remaining
0	47	4718
1	48	2375
2	49	1591
3	49	1199
4	50	963
5	51	805
6	52	695
7	53	611
8	53	545
9	54	492
10	55	448
11	56	412
12	57	381
13	57	354
14	58	331
15	59	311
16	60	293
17	60	277
18	61	263
19	62	250
20	63	238
21	64	227
22	64	216
23	65	207
24	66	198
25	67	191
26	67	183
27	68	176
28	69	169
29	70	164
30	71	158
31	71	152
32	72	147
33	73	142
34	74	137
35	75	133
36	75	129
37	76	124
38	77	120
39	78	117
40	78	113
41	79	110
42	80	106
43	81	103
44	82	100
45	82	97
46	83	94
47	84	91
48	85	88
49	86	86
50	86	83
51	87	80
52	88	78
53	89	76
54	90	73
55	90	71
56	91	69
57	92	66
58	93	64
59	93	62
60	94	60
61	95	58
62	96	56
63	97	54
64	97	52
65	98	50
66	99	48
67	100	47
68	100	45
69	101	43
70	102	41
71	103	40
72	104	38
73	104	36
74	105	35
75	106	33
76	107	32
77	108	30
78	108	28
79	109	27
80	110	25
81	110	24
82	111	22
83	112	21
84	113	19
85	114	18
86	114	17
87	115	15
88	116	14
89	117	13
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
