dpd_5_cnt,dpd_15_cnt,dpd_30_cnt,close_loans_cnt,federal_district_nm,payment_type_0,payment_type_1,payment_type_2,payment_type_3,payment_type_4,payment_type_5,past_billings_cnt,score_1,score_2,age,gender,bad_flag,rep_loan_date_year,rep_loan_date_month,rep_loan_date_day,rep_loan_date_weekday,first_loan_year,first_loan_month,first_loan_day,first_loan_weekday,first_overdue_date_year,first_overdue_date_month,first_overdue_date_day,first_overdue_date_weekday
1.0,0.0,0.0,0.0,6,0,0,6,0,0,0,5.0,,,20,0,0,2016,3,26,2,2015,9,28,1,2016.0,1.0,30.0,2
,,,2.0,1,0,0,0,5,0,0,5.0,,,19,0,0,2016,10,30,3,2015,12,21,1,,,,-1
,,,1.0,6,0,0,4,0,0,0,6.0,,,21,0,0,2016,6,29,6,2015,6,30,5,,,,-1
,,,0.0,5,0,3,0,0,0,0,3.0,,,33,0,0,2015,12,1,5,2015,8,3,1,,,,-1
,,,2.0,3,0,0,6,0,0,0,5.0,,,34,0,0,2016,10,1,2,2015,8,30,3,,,,-1
1.0,0.0,0.0,2.0,3,0,0,9,0,0,0,8.0,,,32,0,0,2016,2,18,4,2015,6,7,3,2015.0,11.0,6.0,0
1.0,1.0,0.0,0.0,3,0,0,5,0,0,0,5.0,,,23,0,1,2015,11,23,1,2015,6,4,4,2015.0,11.0,6.0,0
3.0,1.0,0.0,1.0,2,0,0,4,0,0,0,6.0,,,33,0,0,2016,9,19,1,2015,12,3,4,2016.0,1.0,15.0,0
1.0,1.0,0.0,0.0,3,0,0,5,0,0,0,5.0,,,23,0,1,2015,11,22,3,2015,6,4,4,2015.0,11.0,6.0,0
,,,1.0,3,0,0,3,0,0,0,3.0,,,38,0,0,2016,5,27,0,2015,10,27,5,,,,-1
1.0,1.0,1.0,0.0,3,0,0,5,0,0,0,5.0,,,29,0,0,2015,11,15,3,2015,5,17,3,2015.0,7.0,20.0,1
,,,0.0,2,0,0,0,3,0,0,2.0,,,23,0,0,2015,12,27,3,2015,9,30,6,,,,-1
